CSDUID,CSD,Period,IndicatorSummaryDescription,UnitOfMeasure,OriginalValue
4805026,Drumheller,2003,Oil Production,m3,3138.00000
4805026,Drumheller,2004,Oil Production,m3,3291.50000
4805026,Drumheller,2005,Oil Production,m3,5311.00000
4805026,Drumheller,2006,Oil Production,m3,5141.00000
4805026,Drumheller,2007,Oil Production,m3,5477.00000
4805026,Drumheller,2008,Oil Production,m3,4931.30000
4805026,Drumheller,2009,Oil Production,m3,3714.10000
4805026,Drumheller,2010,Oil Production,m3,5145.80000
4805026,Drumheller,2011,Oil Production,m3,3321.00000
4805026,Drumheller,2012,Oil Production,m3,3450.50000
4805026,Drumheller,2013,Oil Production,m3,4937.10000
4805026,Drumheller,2014,Oil Production,m3,5527.70000
4805026,Drumheller,2015,Oil Production,m3,6789.30000
4805026,Drumheller,2016,Oil Production,m3,4729.70000
4805026,Drumheller,2017,Oil Production,m3,4188.80000
4805026,Drumheller,2018,Oil Production,m3,6969.60000
4805026,Drumheller,2019,Oil Production,m3,30494.70000
4805026,Drumheller,2020,Oil Production,m3,33881.10000
4805026,Drumheller,2021,Oil Production,m3,41234.10000
4805026,Drumheller,2022,Oil Production,m3,56048.10000
4805026,Drumheller,2023,Oil Production,m3,135669.40000
4805031,Starland County,2023,Oil Production,m3,62571.80000
4805031,Starland County,2003,Oil Production,m3,123845.10000
4805031,Starland County,2004,Oil Production,m3,118083.40000
4805031,Starland County,2005,Oil Production,m3,103370.00000
4805031,Starland County,2006,Oil Production,m3,94602.00000
4805031,Starland County,2007,Oil Production,m3,85016.00000
4805031,Starland County,2008,Oil Production,m3,84206.20000
4805031,Starland County,2009,Oil Production,m3,78046.50000
4805031,Starland County,2010,Oil Production,m3,76579.60000
4805031,Starland County,2011,Oil Production,m3,85652.50000
4805031,Starland County,2012,Oil Production,m3,106486.40000
4805031,Starland County,2013,Oil Production,m3,134262.80000
4805031,Starland County,2014,Oil Production,m3,157199.00000
4805031,Starland County,2015,Oil Production,m3,151935.30000
4805031,Starland County,2016,Oil Production,m3,125999.00000
4805031,Starland County,2017,Oil Production,m3,107094.60000
4805031,Starland County,2018,Oil Production,m3,112846.80000
4805031,Starland County,2019,Oil Production,m3,90462.30000
4805031,Starland County,2020,Oil Production,m3,71896.50000
4805031,Starland County,2021,Oil Production,m3,73290.00000
4805031,Starland County,2022,Oil Production,m3,79010.30000
4805041,Kneehill County,2003,Oil Production,m3,325372.70000
4805041,Kneehill County,2004,Oil Production,m3,288785.10000
